date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:34	4536/4536	---MCZ	200	added ('OK')	text/css	etag:W/%225971c189-11b8%22	https://a.kapanlagi.com/v5/css/m/social.css	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/css/m/social.css	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:34	1092/1092	---M--	200	added ('OK')	image/png	etag:%221575812428.3126328-1092-855836153%22	https://cdns.klimg.com/kapanlagi.com/v5/i/channel/entertainment/arrow-beri-komentar.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/i/channel/entertainment/arrow-beri-komentar.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:34	2032/2032	---M--	200	added ('OK')	image/png	etag:%221576043256.9717915-2032-826541525%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/Back-To-Top-Grey.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/Back-To-Top-Grey.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:35	482/482	---M--	200	added ('OK')	image/png	etag:%221573637206.8250835-482-832636372%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/up_circular-32.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/up_circular-32.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:35	5686/5686	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ea09111-1636%22	https://a.kapanlagi.com/v5/js/m/elementloader.js	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/js/m/elementloader.js	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:36	2119/2119	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20May%202020%2005:17:36%20GMT	https://d.infeed.id/resources/js/v0.0.2/infeed-init.js	Z:/home/error/Documents/lirik/lirik/d.infeed.id/resources/js/v0.0.2/infeed-init.js	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:39	0/0	---M-Z	404	error ('Not%20Found')	text/css	date:Sun,%2006%20Jan%202013%2008:00:01%20GMT	https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/vfjallaone-regular-webfont.svg	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/vfjallaone-regular-webfont.svg	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:39	0/0	---M-Z	404	error ('Not%20Found')	text/css	date:Sun,%2006%20Jan%202013%2008:00:01%20GMT	https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/img/vimeo-play.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/a.kapanlagi.com/v5/css/m2/img/vimeo-play.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:40	0/0	---M-Z	404	error ('Not%20Found')	text/css	date:Sun,%2006%20Jan%202013%2008:00:01%20GMT	https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/img/video-play.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/a.kapanlagi.com/v5/css/m2/img/video-play.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:40	0/0	---M-Z	404	error ('Not%20Found')	text/css	date:Sun,%2006%20Jan%202013%2008:00:01%20GMT	https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/img/youtube-play.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/a.kapanlagi.com/v5/css/m2/img/youtube-play.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:42	225/225	---M--	200	added ('OK')	image/png	etag:%221589259090.8822727-225-780469630%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/arrow-socbtt-16bit-v1.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/arrow-socbtt-16bit-v1.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:42	3147/3147	---M--	200	added ('OK')	image/png	etag:%221589252264.0196013-3147-790431079%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/fb-icon-2x.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/fb-icon-2x.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:43	3727/3727	---M--	200	added ('OK')	image/png	etag:%221589259091.0447512-3727-826213752%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/tw-icon-2x.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/tw-icon-2x.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:43	4285/4285	---M--	200	added ('OK')	image/png	etag:%221589259090.9199433-4285-834799064%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/wa-icon-2x.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/wa-icon-2x.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:44	6009/6009	---M--	200	added ('OK')	image/png	etag:%221573202305.256424-6009-875300435%22	https://cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-facebook_75.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-facebook_75.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:44	6640/6640	---M--	200	added ('OK')	image/png	etag:%221573202305.5837104-6640-886441602%22	https://cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-twitter_75.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-twitter_75.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:45	3821/3821	---M--	200	added ('OK')	image/png	etag:%221589259090.9523218-3821-808912281%22	https://cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-gplus_75.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-gplus_75.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
12:02:45	2836/2836	---M--	200	added ('OK')	image/png	etag:%221573637019.2655551-2836-819660228%22	https://cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-bbm_75.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/i/m/socialtabs/klshare16icon-bbm_75.png	(from https://cdns.klimg.com/a.kapanlagi.com/v5/css/m2/1.18k/entertainment.css)
